Timestamp,Open,High,Low,Close,VWAP,Volume,Count,Crypto
06-12-2024,135.96,139.47,130.17,136.17,135.38,67195.07987,14413,Litecoin
07-12-2024,136.24,138.68,132.04,134.01,135,41412.73294,10924,Litecoin
08-12-2024,133.84,135.91,130.22,135.02,133.18,23946.30838,8158,Litecoin
09-12-2024,135.03,135.06,101.75,110.69,117.33,115866.21,25846,Litecoin
10-12-2024,110.46,114.93,101.14,109.82,108.86,79271.85365,18555,Litecoin
11-12-2024,109.83,118.76,105.97,117.41,114.54,73209.31078,13861,Litecoin
12-12-2024,117.35,125,116.55,119.26,120.65,72876.83512,15048,Litecoin
13-12-2024,119.27,125.24,117.2,124.51,120.47,41233.51957,12535,Litecoin
14-12-2024,124.53,125.27,115.47,118.19,120.54,18061.29404,8582,Litecoin
15-12-2024,118.07,122.04,114.38,121.08,118.24,19307.47196,8578,Litecoin
16-12-2024,121.07,123.84,115.44,118.03,120.71,40416.74118,11252,Litecoin
17-12-2024,118.04,131.2,114.51,125.54,123.65,53016.97142,16399,Litecoin
18-12-2024,125.56,129.04,106.9,108.26,115.89,61476.42578,17559,Litecoin
19-12-2024,108.34,111.7,94.69,99.28,104.1,57269.04833,16928,Litecoin
20-12-2024,99.42,103.09,86.25,101.39,94.42,57086.90327,15628,Litecoin
21-12-2024,101.3,105.91,97.79,101.42,101.89,25699.0623,10616,Litecoin
22-12-2024,101.47,103.77,96.73,99.61,100.44,17564.21965,7198,Litecoin
23-12-2024,99.64,107.45,97.92,106.6,103.3,23216.05706,8208,Litecoin
24-12-2024,106.56,111.02,103.95,108.31,108.53,40780.83394,6951,Litecoin
25-12-2024,108.23,110.47,106.91,109.75,108.61,19348.28637,6131,Litecoin
26-12-2024,109.77,110.15,101.03,102.12,104.83,13728.57865,6815,Litecoin
27-12-2024,102.13,106.33,99.55,100.42,102.3,16266.29206,5365,Litecoin
28-12-2024,100.48,101.52,98.57,100.6,100.05,11423.7703,4024,Litecoin
29-12-2024,100.55,101.44,96.76,98.31,99.32,8593.887881,4795,Litecoin
30-12-2024,98.34,102.79,97.25,99.22,100.22,22258.42732,5688,Litecoin
31-12-2024,99.22,104.57,97.64,103.04,102.54,23068.4964,5560,Litecoin
01-01-2025,103.04,107.84,101.89,104.93,105.07,17915.89221,5415,Litecoin
02-01-2025,104.86,108.5,104.55,105.04,106.47,19291.41138,5732,Litecoin
03-01-2025,105.1,114.7,104.03,112.67,109.44,20461.04893,7747,Litecoin
04-01-2025,112.73,112.75,110.19,111.23,111.52,10817.69182,5196,Litecoin
05-01-2025,111.25,116.12,110.61,115.6,112.66,13469.03826,4818,Litecoin
06-01-2025,115.7,117.39,111.64,114.06,114.47,22158.74457,6680,Litecoin
07-01-2025,114.01,114.82,102.09,102.7,107.49,33104.59894,8348,Litecoin
08-01-2025,102.73,104.89,97.26,101.37,101.77,28361.73943,8572,Litecoin
09-01-2025,101.36,105.75,99.95,102.21,102.62,23360.4593,7969,Litecoin
10-01-2025,102.3,106.23,102.09,103.96,104.37,18574.60315,7201,Litecoin
11-01-2025,103.91,104.9,102.1,104.37,103.5,9907.426393,4163,Litecoin
12-01-2025,104.18,105.21,101.33,102.32,103.44,10005.74675,3466,Litecoin
13-01-2025,102.32,104.31,92.47,98.37,96.67,24008.50484,7178,Litecoin
14-01-2025,98.46,102.47,97.57,102.43,100.18,18597.90338,5010,Litecoin
15-01-2025,102.47,118.76,100.79,117.21,108.08,30801.85434,8445,Litecoin
