Timestamp,ADA_Open,BTC_Open,DOT_Open,ETH_Open,LTC_Open,SOL_Open,XRP_Open,ADA_High,BTC_High,DOT_High,ETH_High,LTC_High,SOL_High,XRP_High,ADA_Low,BTC_Low,DOT_Low,ETH_Low,LTC_Low,SOL_Low,XRP_Low,ADA_Close,BTC_Close,DOT_Close,ETH_Close,LTC_Close,SOL_Close,XRP_Close,ADA_VWAP,BTC_VWAP,DOT_VWAP,ETH_VWAP,LTC_VWAP,SOL_VWAP,XRP_VWAP,ADA_Volume,BTC_Volume,DOT_Volume,ETH_Volume,LTC_Volume,SOL_Volume,XRP_Volume,ADA_Count,BTC_Count,DOT_Count,ETH_Count,LTC_Count,SOL_Count,XRP_Count,ADA_Volatility,BTC_Volatility,DOT_Volatility,ETH_Volatility,LTC_Volatility,SOL_Volatility,XRP_Volatility,ADA_Price_Change,BTC_Price_Change,DOT_Price_Change,ETH_Price_Change,LTC_Price_Change,SOL_Price_Change,XRP_Price_Change,ADA_RSI,BTC_RSI,DOT_RSI,ETH_RSI,LTC_RSI,SOL_RSI,XRP_RSI,ADA_MA_7,BTC_MA_7,DOT_MA_7,ETH_MA_7,LTC_MA_7,SOL_MA_7,XRP_MA_7,ADA_MA_14,BTC_MA_14,DOT_MA_14,ETH_MA_14,LTC_MA_14,SOL_MA_14,XRP_MA_14
2024-10-20,0.351381,68375.0,4.4302,2648.53,74.9,159.59,0.54414,0.365535,69315.0,4.5914,2756.35,75.84,167.96,0.54837,0.348237,68129.4,4.3564,2635.22,73.69,157.58,0.5375,0.364993,69010.5,4.5738,2745.32,74.32,167.32,0.54811,0.358156,68665.6,4.483,2692.79,74.62,161.4,0.54262,2384980.768,696.1232032,151185.6388,9009.996466,10482.49713,208000.5156,4306048.568,1919,20673,3523,13701,3183,25704,3666,0.017298,1185.6,0.235,121.13,2.15,10.38,0.01087,0.013375,635.6,0.1449,96.79,-0.58,7.74,0.00345,54.03113807,74.89641882,65.41479821,76.94575368,67.73722628,70.66878349,59.07491202,0.35496,67701.34286,4.369585714,2640.46,71.84142857,156.9457143,0.54586,0.350793357,64830.05714,4.245114286,2533.960714,68.46214286,150.2578571,0.538905
2024-10-21,0.365,69010.5,4.5759,2745.33,74.21,167.33,0.54833,0.372193,69447.8,4.6078,2765.98,74.55,171.5,0.56,0.353297,66838.6,4.3333,2656.61,70.33,161.23,0.5412,0.36066,67385.1,4.374,2665.78,70.72,166.16,0.54495,0.363327,67857.8,4.4753,2699.54,72.22,166.53,0.54969,4830055.089,2249.692678,165639.7355,10285.41904,13686.58616,343947.2079,5457934.026,3119,42900,3900,16779,3828,39681,5533,0.018896,2609.2,0.2745,109.37,4.22,10.27,0.0188,-0.004333,-1625.4,-0.1998,-79.54,-3.6,-1.16,-0.00316,54.9386845,69.06928699,58.72331249,69.398185,64.05890474,72.65864109,60.38026721,0.354508,67895.57143,4.369771429,2645.838571,72.40142857,158.18,0.545408571,0.351457857,65197.95,4.26245,2551.366429,68.89857143,151.8442857,0.540059286
2024-10-22,0.360961,67385.1,4.3747,2665.78,70.72,166.17,0.54491,0.36781,67750.0,4.4286,2670.0,71.51,171.0,0.54901,0.355078,66564.4,4.2717,2605.57,69.35,162.84,0.52929,0.363942,67387.6,4.3205,2618.99,69.99,167.35,0.53334,0.362802,67223.0,4.3517,2630.0,70.23,167.04,0.53848,2286130.632,1332.153183,161896.4015,10716.22471,12465.01353,306857.4273,5126415.321,2368,33260,3538,17778,3789,35538,4825,0.012732,1185.6,0.1569,64.43,2.16,8.16,0.01972,0.003282,2.5,-0.0535,-46.79,-0.73,1.19,-0.01161,60.74918027,69.67700982,57.81725529,63.66511091,60.13071895,74.08898732,51.39127448,0.355250571,67942.3,4.358,2647.695714,72.27857143,159.9728571,0.544207143,0.352848786,65574.35714,4.278228571,2564.207143,69.20857143,153.5535714,0.540232857
2024-10-23,0.364253,67384.2,4.3213,2618.99,69.97,167.36,0.53352,0.36857,67407.5,4.3251,2624.11,70.28,174.0,0.53403,0.342001,65199.0,4.1055,2445.86,67.85,164.11,0.51177,0.34976,66633.4,4.2074,2523.56,70.01,170.66,0.52551,0.352398,66212.5,4.2212,2541.66,69.23,168.86,0.52385,1947971.425,1637.673884,348935.0028,10395.381,16510.08474,284204.3457,10100000.0,2173,38619,4029,20460,3654,40065,5778,0.026569,2208.5,0.2196,178.25,2.43,9.89,0.02226,-0.014182,-754.2,-0.1131,-95.43,0.02,3.31,-0.00783,55.31418691,74.13784883,56.52113748,61.51507139,63.29735034,82.22632226,50.80946451,0.354930429,67805.65714,4.342857143,2635.287143,72.26571429,162.3328571,0.54097,0.353604,66008.31429,4.291692857,2575.405714,69.59571429,155.7992857,0.540335
2024-10-24,0.349067,66630.5,4.2047,2523.57,69.99,170.68,0.5255,0.354414,68794.2,4.2741,2558.0,71.28,179.0,0.53337,0.339753,66452.2,4.1419,2506.13,69.3,170.47,0.52387,0.346391,68170.1,4.203,2534.07,71.11,177.06,0.53183,0.344199,67708.6,4.2225,2531.49,70.37,174.9,0.52896,4836682.174,1711.064071,319841.3962,7382.400517,13018.7305,303306.8259,4344698.244,2730,37956,2949,14798,3849,34892,4816,0.014661,2342.0,0.1322,51.87,1.98,8.53,0.0095,-0.003369,1536.7,-0.0044,10.51,1.1,6.4,0.00632,53.67604741,78.50032507,54.91593046,61.1457978,66.25650734,84.79489517,51.00360848,0.355420571,67914.55714,4.344928571,2625.434286,72.02428571,166.15,0.539284286,0.354142357,66571.92857,4.30155,2586.142143,70.08642857,158.5257143,0.540462143
2024-10-25,0.34631,68170.1,4.2032,2534.23,71.12,177.05,0.53167,0.346599,68699.0,4.2132,2562.34,72.21,177.41,0.53179,0.313165,65531.0,3.847,2379.82,66.8,159.21,0.48676,0.325735,66606.8,3.9903,2436.72,68.73,164.71,0.50142,0.33439,67272.8,4.0654,2494.52,70.96,169.68,0.50838,8555815.328,1962.900885,415033.0458,14622.96341,20629.69348,507399.5604,12000000.0,4622,46344,3527,23716,5046,46200,7734,0.033434,3168.0,0.3662,182.52,5.41,18.2,0.04503,-0.020656,-1563.3,-0.2127,-97.35,-2.38,-12.35,-0.03041,38.54610057,65.56628462,44.19141914,49.99025802,57.1814498,65.87497938,33.15837104,0.351871286,67652.62857,4.2997,2596.138571,71.39714286,167.5485714,0.532831429,0.352327929,66865.09286,4.288978571,2586.132143,70.31428571,159.9007143,0.537803571
2024-10-26,0.325426,66606.8,3.9875,2436.73,68.7,164.7,0.50126,0.334356,67348.4,4.0557,2502.82,69.54,172.9,0.51514,0.320084,66364.0,3.9405,2427.61,68.06,162.26,0.49842,0.333341,67026.0,4.0293,2478.86,68.38,170.69,0.51275,0.329178,66949.2,4.0179,2460.16,68.63,168.76,0.50966,2332574.38,551.1168065,250312.0706,8984.90587,9042.464621,183135.0199,5530783.367,2137,19066,2153,12309,3167,25461,3957,0.014272,984.4,0.1152,75.21,1.48,10.64,0.01672,0.007606,419.2,0.039,42.14,-0.35,5.98,0.01133,41.54106152,64.86727034,44.1840507,50.12145524,54.95660119,68.5131639,38.89302556,0.349260286,67459.92857,4.242614286,2571.9,70.46571429,169.1357143,0.528272857,0.350919286,67139.52143,4.276392857,2586.257143,70.46928571,161.6385714,0.535885714
2024-10-27,0.333308,67026.1,4.0284,2478.87,68.38,170.7,0.51275,0.341635,68196.0,4.1311,2522.03,71.12,177.98,0.51712,0.330589,66850.4,4.0037,2462.49,67.98,170.15,0.5104,0.339596,67941.2,4.124,2505.42,71.01,176.48,0.51638,0.337686,67532.6,4.072,2483.33,70.14,174.58,0.51415,972972.2375,669.930588,192130.9206,8143.447689,14691.4597,212097.0298,3530130.742,1570,16686,3163,9064,4196,22185,2859,0.011046,1345.6,0.1274,59.54,3.14,7.83,0.00672,0.006255,915.2,0.0947,26.56,2.63,5.79,0.00363,46.30556473,68.93031119,48.91478328,52.64980714,63.60086768,70.51446487,43.47527473,0.345632143,67307.17143,4.178357143,2537.628571,69.99285714,170.4442857,0.52374,0.350296071,67504.25714,4.273971429,2589.044286,70.91714286,163.695,0.5348
2024-10-28,0.339599,67941.3,4.1232,2505.42,71.05,176.48,0.5163,0.347538,70200.0,4.2175,2590.0,71.48,179.51,0.52105,0.330108,67535.0,4.0025,2470.37,69.63,172.35,0.51117,0.343657,69911.9,4.1313,2564.97,70.72,178.1,0.51916,0.338647,69066.4,4.1016,2524.93,70.72,175.87,0.5164,2851742.939,2663.611725,275557.61,24682.31945,38329.58076,409467.6504,4240097.923,2665,41072,4206,19296,5238,35970,4300,0.01743,2665.0,0.215,119.63,1.85,7.16,0.00988,0.004061,1970.7,0.0073,59.55,-0.29,1.62,0.00278,40.54444351,65.84061563,41.08830478,45.01971298,59.21052632,66.6074887,35.90966612,0.343203143,67668.14286,4.143685714,2523.227143,69.99285714,172.15,0.520055714,0.348855571,67781.85714,4.256728571,2584.532857,71.19714286,165.165,0.532732143
2024-10-29,0.34349,69912.0,4.1313,2564.97,70.78,178.1,0.51918,0.3567,73574.9,4.249,2680.0,74.3,183.2,0.53072,0.342653,69720.1,4.1141,2560.0,70.7,176.51,0.5182,0.355724,72661.0,4.1899,2636.08,73.91,179.3,0.52814,0.350143,71932.3,4.1786,2611.68,72.5,180.24,0.52551,3786437.16,3112.481801,285641.3508,31063.37399,36915.13617,396810.2203,7931403.349,3294,60478,4870,26766,5592,40146,6575,0.014047,3854.8,0.1349,120.0,3.6,6.69,0.01252,0.012067,2749.1,0.0586,71.11,3.19,1.2,0.00898,48.67110219,70.02853812,42.29823546,52.20255611,57.49265426,70.26803441,43.54057902,0.342029143,68421.48571,4.125028571,2525.668571,70.55285714,173.8571429,0.519312857,0.348639857,68181.89286,4.241514286,2586.682143,71.41571429,166.915,0.53176
2024-10-30,0.355733,72661.0,4.1901,2636.09,73.93,179.32,0.52803,0.363,72887.9,4.2132,2719.3,74.16,181.12,0.52813,0.350678,71400.0,4.1191,2594.97,71.46,173.08,0.51937,0.355124,72331.1,4.189,2656.19,71.77,174.8,0.52281,0.356241,72180.5,4.1703,2669.14,72.49,175.93,0.52253,2367076.839,1750.94497,247459.8378,14019.85246,17274.01995,187071.7033,4191282.592,3307,41109,4582,29049,4512,28555,4485,0.012322,1487.9,0.0941,124.33,2.7,8.04,0.00876,-0.0006,-329.9,-0.0009,20.11,-2.14,-4.5,-0.00533,51.45276085,67.20094618,45.1939422,53.27513417,53.82851903,66.07031736,37.83809707,0.342795429,69235.44286,4.1224,2544.615714,70.80428571,174.4485714,0.518927143,0.348862929,68520.55,4.232628571,2589.951429,71.535,168.3907143,0.529948571
2024-10-31,0.355043,72331.1,4.189,2656.2,71.78,174.8,0.52274,0.360966,72662.0,4.2119,2666.3,72.03,176.3,0.52358,0.34006,69602.0,3.9,2500.97,68.39,167.41,0.50291,0.341397,70250.1,3.9562,2515.07,69.2,168.48,0.50888,0.349734,71115.7,4.0284,2578.88,70.65,172.14,0.51327,2959864.841,1855.729176,212577.3341,9461.355262,12822.1509,344126.5645,5220750.144,2411,34927,3381,21317,4514,34222,5037,0.020906,3060.0,0.3119,165.33,3.64,8.89,0.02067,-0.013727,-2081.0,-0.2328,-141.12,-2.57,-6.32,-0.01393,49.30329586,59.06305203,41.71599743,44.71645305,41.69741697,63.57784431,34.71183458,0.342082,69532.58571,4.087142857,2541.901429,70.53142857,173.2228571,0.515648571,0.348751286,68723.57143,4.216035714,2583.667857,71.27785714,169.6864286,0.527466429
2024-11-01,0.341307,70250.1,3.9562,2515.09,69.2,168.49,0.50899,0.361747,71576.0,3.9892,2582.98,70.99,173.87,0.52361,0.334072,68810.0,3.8487,2465.47,67.7,163.49,0.5025,0.357372,69490.1,3.9056,2512.19,70.2,166.06,0.51276,0.352655,69793.3,3.9252,2519.69,69.64,167.37,0.51657,4480893.992,2425.491689,213795.9887,15913.89051,10329.11256,220472.8147,5332881.854,3647,42761,2513,22234,4051,34204,5364,0.027675,2766.0,0.1405,117.51,3.29,10.38,0.02111,0.015975,-760.0,-0.0506,-2.88,1.0,-2.42,0.00388,52.8176493,53.40662764,34.96215244,41.8656323,43.47048301,58.61695545,35.2361002,0.346601571,69944.48571,4.075042857,2552.682857,70.74142857,173.4157143,0.517268571,0.349236429,68798.55714,4.187371429,2574.410714,71.06928571,170.4821429,0.52505
2024-11-02,0.357282,69490.1,3.9044,2512.19,70.2,166.06,0.51282,0.363333,69858.8,3.9409,2520.07,71.21,168.45,0.51578,0.345635,69060.0,3.828,2470.69,68.91,162.25,0.50665,0.347788,69300.0,3.9036,2491.03,69.18,166.05,0.51003,0.353876,69444.7,3.8876,2492.49,69.94,165.06,0.51064,2516196.444,803.1388397,72959.73606,7076.793709,12542.71202,111352.7028,2354450.416,1920,19256,1749,9832,3888,18242,2511,0.017698,798.8,0.1129,49.38,2.3,6.2,0.00913,-0.009584,-190.1,-0.002,-21.16,-1.02,-0.01,-0.00273,48.51633197,52.97787277,28.37025447,40.29024462,36.75925926,55.39256543,34.99176562,0.348665429,70269.34286,4.057085714,2554.421429,70.85571429,172.7528571,0.51688,0.348962857,68864.63571,4.14985,2563.160714,70.66071429,170.9442857,0.522576429
2024-11-03,0.347741,69300.9,3.9036,2491.78,69.19,166.07,0.51032,0.347741,69363.3,3.9265,2494.38,69.24,166.4,0.51073,0.327494,67483.7,3.6683,2411.88,65.31,157.94,0.49216,0.334454,68748.7,3.7827,2455.53,66.83,162.44,0.50292,0.334832,68293.5,3.7416,2444.12,66.85,161.29,0.49876,3875297.965,2115.263489,343821.2097,13563.17589,9260.651412,165640.6382,6001118.726,2389,35315,4762,18043,3869,31410,5191,0.020247,1879.6,0.2582,82.5,3.93,8.46,0.01857,-0.013334,-551.3,-0.1209,-35.5,-2.35,-3.61,-0.00711,38.16602212,49.15267403,16.76888179,30.67422474,33.97518186,45.63193699,31.01739057,0.347930857,70384.7,4.008328571,2547.294286,70.25857143,170.7471429,0.514957143,0.3467815,68845.93571,4.093342857,2542.461429,70.12571429,170.5957143,0.519348571
2024-11-04,0.333449,68748.7,3.7839,2455.54,66.72,162.42,0.50292,0.336485,69430.6,3.833,2487.67,67.62,164.77,0.51379,0.320338,66836.0,3.6787,2357.77,64.39,155.0,0.49483,0.325979,67783.3,3.7489,2395.92,65.52,157.9,0.50322,0.327716,68181.7,3.7739,2427.72,66.44,160.32,0.50598,3212750.595,1544.561233,142213.9192,10987.46332,11983.50895,202428.0116,7584637.538,2183,30935,3195,15346,3683,20347,4867,0.016147,2594.6,0.1543,129.9,3.23,9.77,0.01896,-0.008475,-965.4,-0.0338,-59.61,-1.31,-4.54,0.0003,36.97896721,51.34630729,19.48647857,31.51187964,37.66603416,43.02835922,32.03925282,0.345405429,70080.61429,3.9537,2523.144286,69.51571429,167.8614286,0.51268,0.344304286,68874.37857,4.048692857,2523.185714,69.75428571,170.0057143,0.516367857
2024-11-05,0.326058,67787.8,3.7487,2395.92,65.52,157.89,0.50322,0.338113,70482.0,3.9159,2478.28,67.27,169.26,0.51833,0.325935,67481.4,3.7441,2379.9,64.9,156.74,0.50154,0.333369,69382.7,3.856,2422.26,65.38,166.66,0.5141,0.332894,69409.3,3.8436,2437.11,66.35,164.52,0.51051,3419565.753,2008.236272,287226.6477,12245.98321,12664.44989,288805.9241,7123337.928,2200,30812,3699,9518,3988,19326,4568,0.012178,3000.6,0.1718,98.38,2.37,12.52,0.01679,0.00739,1599.4,0.1071,26.34,-0.14,8.76,0.01088,38.86481013,56.08800464,28.45347435,36.13347054,38.75061005,49.48361024,41.66666667,0.342211857,69612.28571,3.906,2492.598571,68.29714286,166.0557143,0.510674286,0.3421205,69016.88571,4.015514286,2509.133571,69.425,169.9564286,0.514993571
2024-11-06,0.333626,69382.7,3.8561,2422.26,65.41,166.66,0.51422,0.365675,76457.6,4.1284,2746.07,71.62,190.0,0.54714,0.333626,69341.0,3.856,2421.56,65.37,166.36,0.51419,0.363423,75642.0,4.117,2723.26,71.07,186.87,0.54234,0.359198,73794.8,4.0444,2619.87,69.66,183.27,0.53487,12900000.0,8946.487328,937292.8962,33314.8654,29418.99809,803416.0327,12800000.0,6018,69815,6952,22409,6546,45839,9560,0.032049,7116.6,0.2724,324.51,6.25,23.64,0.03295,0.030054,6259.3,0.261,301.0,5.69,20.21,0.02824,54.46057211,70.57641179,46.31261217,60.91328393,52.02599388,59.68223629,56.19433198,0.343397429,70085.27143,3.895714286,2502.18,68.19714286,167.78,0.513464286,0.343096429,69660.35714,4.009057143,2523.397857,69.50071429,171.1142857,0.516195714
2024-11-07,0.3637,75642.1,4.117,2723.26,71.01,186.88,0.54245,0.406898,76937.5,4.199,2919.01,72.42,197.9,0.57851,0.3618,74500.0,4.0518,2701.38,70.01,186.09,0.53823,0.406898,75949.2,4.1641,2896.87,71.51,196.44,0.55617,0.389087,75634.4,4.1289,2840.22,71.24,193.07,0.55527,18700000.0,3152.675391,364815.4792,25284.36024,33149.61383,403567.9862,14100000.0,7442,41516,5277,19771,5015,29821,10442,0.045098,2437.5,0.1472,217.63,2.41,11.81,0.04028,0.043475,307.2,0.0471,173.61,0.44,9.57,0.01383,65.65438091,68.82547396,48.46669294,66.82683388,50.78431373,61.15331492,58.4891183,0.352754714,70899.42857,3.925414286,2556.722857,68.52714286,171.7742857,0.52022,0.347418357,70216.00714,4.006278571,2549.312143,69.52928571,172.4985714,0.517934286
