Timestamp,Open,High,Low,Close,VWAP,Volume,Count,Crypto,Volatility,Price_Change,RSI,MA_7,MA_14,Close_Lag_1,Close_Lag_2,Close_Lag_3,Rolling_Std_7,Rolling_Std_14,EMA_7,EMA_14,MACD,Day_of_Week,Month,Week_of_Year
2023-06-11 00:00:00,1893.18,1914.96,1870.99,1901.57,1895.66,29450.01796,11797,Ethereum,43.97,7.83,74.01825515,1850.13,1820.696429,1893.74,1857.44,1833.93,37.5432248659273,40.6939127194378,1854.8989835318,1811.47749927659,43.4214842552044,0,11,45
2023-07-11 00:00:00,1901.7,1907.5,1851.01,1886.02,1883.68,26255.65125,9699,Ethereum,56.49,-15.55,68.16441885,1860.192857,1827.95,1901.57,1893.74,1857.44,36.1536635830514,42.7390504195972,1862.67923764885,1821.41649937305,41.2627382758,1,11,45
2023-08-11 00:00:00,1885.98,1904.98,1873.86,1889.1,1891.45,15783.07769,7597,Ethereum,31.12,3.08,68.14618606,1866.145714,1835.192143,1886.02,1901.57,1893.74,37.1196290647554,43.9684569065926,1869.28442823663,1830.44096612331,38.8434621133274,2,11,45
2023-09-11 00:00:00,1889.01,2131.86,1883.94,2119.3,1991.59,99450.55809,35516,Ethereum,247.92,230.2,81.96209588,1911.585714,1857.718571,1889.1,1886.02,1901.57,94.5915693666114,86.7213578393129,1931.78832117747,1868.95550397353,62.8328172039425,3,11,45
2023-10-11 00:00:00,2121.15,2137.0,2065.0,2077.88,2100.28,50921.04341,17886,Ethereum,72.0,-41.42,79.15590009,1946.435714,1878.995714,2119.3,1889.1,1886.02,105.5202287,101.473969281574,1968.3112408831,1896.81210344373,71.4991374393775,4,11,45
2023-11-11 00:00:00,2078.16,2090.99,2030.82,2052.75,2066.92,32289.59474,12794,Ethereum,60.17,-25.13,75.91191544,1974.337143,1898.713571,2077.88,2119.3,1889.1,103.875064494853,106.750459527537,1989.42093066233,1917.60382298456,71.81710768,5,11,45
2023-12-11 00:00:00,2052.76,2066.78,2018.0,2045.29,2044.55,25877.84582,11080,Ethereum,48.78,-7.46,73.9484995,1995.987143,1916.543571,2052.75,2077.88,2119.3,99.9979375977828,109.037585305895,2003.38819799674,1934.62864658662,68.7595514101235,6,11,45
13/11/2023,2045.1,2118.66,2030.78,2054.78,2074.38,47381.30979,15336,Ethereum,87.88,9.49,73.68594465,2017.874286,1934.002143,2045.29,2052.75,2077.88,92.36359237,110.288666840778,2016.23614849756,1950.64882704174,65.5873214558196,0,11,46
14/11/2023,2054.16,2065.0,1933.0,1979.44,2016.67,56791.7624,17688,Ethereum,132.0,-75.34,63.97932023,2031.22,1945.706429,2054.78,2045.29,2052.75,75.3116681973469,105.338137268448,2007.03711137317,1954.48765010284,52.549461270328,1,11,46
15/11/2023,1979.61,2062.96,1967.03,2060.92,2016.09,35632.35144,13222,Ethereum,95.93,81.48,66.79146152,2055.765714,1960.955714,1979.44,2054.78,2045.29,41.8282902101605,105.469624406874,2020.50783352987,1968.67863008913,51.8292034407477,2,11,46
16/11/2023,2060.17,2092.0,1935.43,1961.5,2011.18,50945.34582,16622,Ethereum,156.57,-99.42,61.63270046,2033.222857,1972.404286,2060.92,1979.44,2054.78,44.3279290118184,94.9735844014831,2005.7558751474,1967.721479,38.0343957368288,3,11,46
17/11/2023,1961.5,1991.0,1905.47,1961.4,1953.14,31705.3374,11151,Ethereum,85.53,-0.1,59.71111213,2016.582857,1981.509286,1961.5,2060.92,1979.44,46.5757929666987,86.40028254,1994.66690636055,1966.87861548916,27.7882908713872,4,11,46
18/11/2023,1961.39,1972.14,1918.63,1963.34,1947.35,7815.417205,6589,Ethereum,53.51,1.94,58.3419983,2003.81,1989.073571,1961.4,1961.5,2060.92,47.2591179914935,79.0233617460562,1986.83517977041,1966.40680009061,20.428379679804,5,11,46
19/11/2023,1963.34,2016.36,1945.0,2012.77,1978.71,13567.28449,7280,Ethereum,71.36,49.43,59.1862565,1999.164286,1997.575714,1963.34,1961.4,1961.5,43.9870397038187,74.2355984183275,1993.31888482781,1972.58856007853,20.7303247492814,6,11,46
20/11/2023,2012.82,2068.25,1995.1,2021.87,2029.3,61619.2515,16881,Ethereum,73.15,9.1,59.26610592,1994.462857,2006.168571,2012.77,1963.34,1961.4,38.4639999282022,69.0492618862265,2000.456664,1979.15941873472,21.2972448861321,0,11,47
21/11/2023,2022.03,2035.0,1930.54,1934.14,1989.79,35800.35795,14963,Ethereum,104.46,-87.73,53.33555149,1987.991429,2009.605714,2021.87,2012.77,1963.34,44.7155470459614,63.5903040159024,1983.87749771564,1973.15682957009,10.7206681455475,1,11,47
